instance,tag,het,arm,n,mean,sd,median,best,worst,mean_sec,mean_evals,ms_per_eval,stopped_by,lower_bound,gap_upper
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,nofeedback,10,72.5,2.991,71.0,69.0,77.0,30.35,3594,8.445,budget,38.75,0.4655
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,opendispatch,10,73.8,1.874,74.0,71.0,76.0,30.29,10116,2.994,budget,38.75,0.4749
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,opendispatch_nols,10,72.6,3.438,72.0,67.0,78.0,30.27,16632,1.82,budget,38.75,0.4663
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,nostagger,10,71.8,2.098,71.5,69.0,75.0,30.71,2364,12.989,budget,38.75,0.4603
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,closed,10,74.8,5.266,73.0,70.0,87.0,30.53,2082,14.664,budget,38.75,0.482
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,priced,10,83.1,3.985,84.0,76.0,89.0,31.87,474,67.245,budget,38.75,0.5337
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,rule,10,134.0,0.0,134.0,134.0,134.0,,,,,31.25,0.7668
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,twostage,10,79.5,5.276,80.5,67.0,86.0,60.1,147876,0.406,budget,31.25,0.6069
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nofeedback,10,69.6,2.503,69.0,66.0,76.0,60.26,7146,8.432,budget,31.25,0.551
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,opendispatch,10,69.3,3.335,67.5,66.0,76.0,60.16,19824,3.035,budget,31.25,0.5491
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,opendispatch_nols,10,71.8,5.051,70.5,67.0,81.0,60.14,33174,1.813,budget,31.25,0.5648
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nostagger,10,71.5,4.403,71.0,66.0,78.0,60.56,4584,13.211,budget,31.25,0.5629
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,closed,10,71.8,3.765,71.5,66.0,78.0,60.5,4218,14.343,budget,31.25,0.5648
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,priced,10,74.9,4.909,76.0,66.0,80.0,61.78,900,68.643,budget,31.25,0.5828
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,rule,10,133.0,0.0,133.0,133.0,133.0,,,,,25.0,0.812
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,twostage,10,71.9,4.818,71.0,66.0,80.0,41.28,105306,0.392,budget,25.0,0.6523
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,nofeedback,10,66.7,3.164,67.0,63.0,72.0,41.47,4932,8.408,budget,25.0,0.6252
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,opendispatch,10,67.7,3.561,67.0,63.0,75.0,41.36,14286,2.895,budget,25.0,0.6307
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,opendispatch_nols,10,67.0,4.11,66.5,62.0,77.0,41.3,22764,1.814,budget,25.0,0.6269
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,nostagger,10,68.6,5.19,67.5,63.0,76.0,41.77,3300,12.658,budget,25.0,0.6356
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,closed,10,69.2,4.662,70.0,62.0,76.0,41.71,2952,14.129,budget,25.0,0.6387
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,priced,10,77.7,4.347,77.0,72.0,87.0,42.5,618,68.772,budget,25.0,0.6782
