instance,tag,het,baseline,kind,n_pairs,baseline_mean,closed_mean,rel_gain,gain_sd,n_eff,p_value,method
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,nostagger,mechanism,10,66.5,67.9,-0.02309,0.067,9,0.31309,normal
S8x4x4-LD11-H0-F0.6-A4-s42,funnel,0.0,twostage,integration,10,81.1,73.4,0.09091,0.065,9,0.01246,normal
S8x4x4-LD11-H0-F0.6-A4-s42,funnel,0.0,nofeedback,mechanism,10,73.5,73.4,0.00073,0.041,10,0.91834,normal
S8x4x4-LD11-H0-F0.6-A4-s42,funnel,0.0,opendispatch,mechanism,10,76.2,73.4,0.03457,0.058,10,0.13839,normal
S8x4x4-LD11-H0-F0.6-A4-s42,funnel,0.0,opendispatch_nols,mechanism,10,73.2,73.4,-0.00344,0.044,8,0.62192,normal
S8x4x4-LD11-H0-F0.6-A4-s42,funnel,0.0,nostagger,mechanism,10,76.3,73.4,0.03627,0.049,9,0.03765,normal
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,twostage,integration,10,79.5,74.8,0.05886,0.064,9,0.0496,normal
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,nofeedback,mechanism,10,72.5,74.8,-0.03345,0.086,9,0.3424,normal
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,opendispatch,mechanism,10,73.8,74.8,-0.01391,0.072,7,1.0,normal
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,opendispatch_nols,mechanism,10,72.6,74.8,-0.03148,0.073,10,0.26064,normal
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,nostagger,mechanism,10,71.8,74.8,-0.04313,0.088,9,0.20908,normal
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,twostage,integration,10,79.5,71.8,0.0928,0.085,10,0.01883,normal
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nofeedback,mechanism,10,69.6,71.8,-0.03288,0.068,9,0.23531,normal
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,opendispatch,mechanism,10,69.3,71.8,-0.03876,0.082,9,0.23407,normal
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,opendispatch_nols,mechanism,10,71.8,71.8,-0.00285,0.066,9,1.0,normal
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nostagger,mechanism,10,71.5,71.8,-0.00566,0.048,7,0.93241,normal
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,twostage,integration,10,71.9,69.2,0.03664,0.045,9,0.04364,normal
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,nofeedback,mechanism,10,66.7,69.2,-0.03985,0.09,8,0.14051,normal
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,opendispatch,mechanism,10,67.7,69.2,-0.02238,0.049,9,0.19017,normal
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,opendispatch_nols,mechanism,10,67.0,69.2,-0.0353,0.083,9,0.25914,normal
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,nostagger,mechanism,10,68.6,69.2,-0.00979,0.035,9,0.33941,normal
